id	description	hasSides
10''	10'' Vinyl Single	1
12''	12'' Vinyl Single	1
3''CD	3'' Mini CD Single	0
7''	7'' Vinyl Single	1
BD	Blu-ray Disc	0
BD+CD	Box Format: Long Play Compact Disc and Blu-ray Disc	0
BD+DVD+CD	Box Format: Long Play Compact Disc, Blu-ray Disc and DVD	0
BD+DVD+CD+12''	Box Format: Long Play Compact Disc, Blu-ray Disc, DVD and 12'' Vinyl Single	1
CD	Long Play Compact Disc	0
CD+DVD	Box Format: Long Play Compact Disc and DVD Disc	0
CD+DVD+LP	Box Format: Long Play Compact Disc, DVD and Long Play Vinyl	1
CD+TC	Long Play Compact Disc + Tape Cassette	1
CD-R	Recordable Compact Disc	0
CD-ROM	Long Play Data Compact Disc	0
CDS	CD Single	0
CDS+DVD	CD Single + DVD	0
DVD	DVD Disc	0
LP	Long Play Vinyl Record	1
LP+12''	Box Format: Long Play and 12'' Vinyl Single	1
TC	Tape Cassette	1
VHS	VHS Video Tape	0
