id,name
22,Al Stewart
80,Baz Luhrmann
23,Billy Squier
57,Blossom
81,Brian Helgeland
11,Brian May
17,Brian May & Czech National Symphony Orchestra
14,Brian May with Cozy Powell
12,Brian May+Friends
83,Bryan Singer
58,Captain Jack
42,David Bowie
78,Dennis Wilson*Taylor Hawkins*Brian May*Roger Taylor
74,Dream Theater
53,Dune
25,Elaine Paige
48,Elton John
59,Ex-it
10,Felix and Arty
41,Five
44,Foo Fighters
19,Freddie Mercury
20,Freddie Mercury & Montserrat Caballe
82,George Michael
5,George Michael and Queen with Lisa Stansfield
50,Hank Marvin feat. Brian May
28,Jimmy Nail
85,John Deacon
34,Kerry Ellis & Brian May
43,Lady Gaga
18,Larry Lurex
60,Magic Affair
76,Maurice Bejart
15,MC SPY-D+Friends
51,Metallica
38,Mick Ronson
61,Music Instructor
66,Neumann
79,Penelope Spheeris
1,Queen
4,Queen & David Bowie
75,Queen + Adam Lambert
26,Queen + Paul Rodgers
49,Queen + Vanguard
33,Queen vs The Miami Project
6,Queen/Wyclef Jean featuring Pras & Free
2,Queen+
70,Queens' Own
73,Rajaton with Lahti Symphony Orchestra
36,Robbie Williams
37,Rock Aid Armenia
47,Roger Daltrey
7,Roger Taylor
9,Roger Taylor & Yoshiki
77,Russell Mulcahy
54,Sarah Brightman
65,Scatman John
55,Scorpions
46,Shakin' Stevens
35,Smile
40,Status Quo
52,The Braids
13,The Brian May Band
8,The Cross
72,The Film Score Orchestra
69,The Gary Tesca Orchestra
67,The Gino Marinello Orchestra
27,The Immortals
24,The London Symphony Orchestra
21,The Royal Philharmonic Orchestra
84,Tim Staffell
56,Travis
71,Valensia
29,Vanilla Ice
3,Various Artists
30,We Will Rock You Original London Cast
31,We Will Rock You Original Madrid Cast
16,"Weebl and May feat. Brian Blessed, King Of The Hawkmen"
62,Worlds Apart
63,Сектор Газа
86,Adam Lambert
87,John Hough
88,Fork
89,George Michael And Queen
90,Def Leppard
91,Bob Geldof
92,Ian Hunter
93,Bill Lawrence
94,Woman
45,Guns N' Roses
32,Five + Queen
95,Holly Johnson
96,Eminem
97,Jon Brewer
98,Glee Cast
99,Taylor Hawkins & The Coattail Riders
100,Seth MacFarlane
101,Iommi
102,Jennifer Rush
103,Claire Sweeney
104,Judie Tzuke
105,Hank Marvin
106,Zucchero
107,Feargal Sharkey
108,Maroon 5
109,Cozy Powell
110,Carmine Appice's Guitar Zeus
111,Cliff Richard
