id,name,type,release_date,artist_id,entry_artist_id
1,Queen (Untitled First Album),1,1973-07-13,1,null
2,Queen II,1,1974-03-08,1,null
3,Sheer Heart Attack,1,1974-11-08,1,null
4,A Night At The Opera,1,1975-11-21,1,null
5,A Day At The Races,1,1976-12-10,1,null
6,News Of The World,1,1977-10-28,1,null
7,Jazz,1,1978-11-10,1,null
8,Live Killers,3,1979-06-22,1,null
9,The Game,1,1980-06-30,1,null
10,Flash Gordon,1,1980-12-08,1,null
11,Greatest Hits,4,1981-11-02,1,null
12,Hot Space,1,1982-05-21,1,null
13,The Works,1,1984-02-27,1,null
14,A Kind Of Magic,1,1986-06-02,1,null
15,Live Magic,3,1986-12-01,1,null
16,The Miracle,1,1989-05-22,1,null
17,At The Beeb/At The BBC,4,1989-12-04,1,null
18,Innuendo,1,1991-02-04,1,null
19,Greatest Hits II,4,1991-10-28,1,null
20,Classic Queen,4,1992-03-02,1,null
21,Live At Wembley'86/Live At Wembley Stadium,3,1992-05-26,1,null
22,Made In Heaven,1,1995-11-06,1,null
23,Queen Rocks,4,1997-11-03,1,null
24,Greatest Hits III,4,1999-11-08,1,2
25,Queen On Fire Live At The Bowl,3,2004-10-25,1,null
26,Rock Montreal,3,2007-10-29,1,null
27,Deep Cuts Volume 1 (1973-1976),4,2011-03-14,1,null
28,Deep Cuts Volume 2 (1977-1982),4,2011-06-27,1,null
29,Deep Cuts Volume 3 (1984-1995),4,2011-09-05,1,null
30,Hungarian Rhapsody Live In Budapest,3,2012-11-05,1,null
31,Live At The Rainbow'74,3,2014-09-08,1,null
32,Forever,4,2014-11-10,1,null
33,A Night At The Odeon,3,2015-11-20,1,null
34,On Air,4,2016-11-04,1,null
35,Queen (Untitled East German Compilation),4,1981,1,null
36,"Golden Collection, Vol. 2",4,1984,1,null
37,Live,3,1984,1,null
38,Concerts For The People Of Kampuchea,3,1981-03-30,3,null
39,By Appointment Only,5,1993,1,null
40,Keep Yourself Alive,6,1973-07-06,1,null
41,Liar,6,1974-02-14,1,null
42,Seven Seas Of Rhye,6,1974-02-23,1,null
43,Killer Queen,6,1974-10-11,1,null
44,Now I'm Here,6,1975-01-17,1,null
45,Bohemian Rhapsody,6,1975-10-31,1,null
46,You're My Best Friend,6,1976-06-18,1,null
47,Somebody To Love,6,1976-11-12,1,null
48,Tie Your Mother Down,6,1977-03-04,1,null
49,Teo Torriatte (Let Us Cling Together),6,1977-03-25,1,null
50,Queen's First E.P.,7,1977-05-20,1,null
51,Long Away,6,1977-06-07,1,null
52,We Are The Champions,6,1977-10-07,1,null
53,Spread Your Wings,6,1978-02-10,1,null
54,It's Late,6,1978-04-25,1,null
55,Bicycle Race,6,1978-10-13,1,null
56,Don't Stop Me Now,6,1979-01-26,1,null
57,Jealousy,6,1979-04-27,1,null
58,Mustapha,6,1979-05,1,null
59,Love Of My Life,6,1979-06-29,1,null
60,We Will Rock You,6,1979-08-24,1,null
61,Crazy Little Thing Called Love,6,1979-10-05,1,null
62,Save Me,6,1980-01-25,1,null
66,Play The Game,6,1980-05-30,1,null
67,Another One Bites The Dust,6,1980-08-22,1,null
68,Need Your Loving Tonight,6,1980-11-18,1,null
69,Flash,6,1980-11-24,1,null
70,Under Pressure,6,1981-10-26,1,4
71,Body Language,6,1982-04-19,1,null
72,Las Palabras De Amor (The Words Of Love),6,1982-06-01,1,null
73,Calling All Girls,6,1982-07-19,1,null
74,Staying Power,6,1982-07,1,null
75,Back Chat,6,1982-08-09,1,null
76,Radio Ga Ga,6,1984-01-23,1,null
77,I Want To Break Free,6,1984-04-02,1,null
78,It's A Hard Life,6,1984-07-16,1,null
79,Hammer To Fall,6,1984-10-10,1,null
80,Thank God It's Christmas,6,1984-11-26,1,null
81,One Vision,6,1985-11-04,1,null
82,Princes Of The Universe,6,1986-03-12,1,null
83,A Kind Of Magic,6,1986-03-17,1,null
84,Friends Will Be Friends,6,1986-06-09,1,null
85,Pain Is So Close To Pleasure,6,1986-08-26,1,null
86,Who Wants To Live Forever,6,1986-09-15,1,null
87,One Year Of Love,6,1986-09,1,null
88,I Want It All,6,1989-05-02,1,null
89,Breakthru,6,1989-06-19,1,null
