id,entry_id,name,format,release_date,version,country,label,cat_number,comment,discogs_url,condition_problems
1,1,Queen,LP,1973-07-13,Original UK LP,UK,EMI,EMC 3006,"Matrix / Runout: YAX 4623-3U KIP - HUGGYPOO KISSY (Side A), YAX 4624-3U AGAIN! (Side B), variant 1 in discogs. My copy contains ANOTR inner sleeve.",https://www.discogs.com/Queen-Queen/release/847206,null
2,1,Queen,LP,1973,Original Japanese LP,JAP,Electra,P-8427E,"Red sleeve, insert with lyrics. No OBI on my copy.",https://www.discogs.com/Queen-Queen/release/499786,null
3,2,null,LP,1974-03-08,Original UK LP,UK,EMI,EMA 767,1st pressing with 3 die-cut corners on inner sleeve.,https://www.discogs.com/Queen-Queen-II/release/7499354,null
4,3,null,LP,1974-11-08,Original UK LP,UK,EMI,EMC 3061,"Matrix / Runout: YAX 4881-3U ROA TML-S (Side A), YAX 4882-4U RAM (Side B), variant 4 on discogs.",https://www.discogs.com/Queen-Sheer-Heart-Attack/release/777747,null
5,4,null,LP,1975-11-21,Original UK LP,UK,EMI,EMTC 103,3 die-cut corner picture inner sleeve.,https://www.discogs.com/Queen-A-Night-At-The-Opera/release/3605090,null
6,5,null,LP,1976-12-10,Original UK LP,UK,EMI,EMTC 104,"Matrix / Runout: YAX 5245 - 1U STERLING (Side A), YAX 5246 - 1U STERLING (Side B), variant 1 in discogs.",https://www.discogs.com/Queen-A-Day-At-The-Races/release/475596,null
7,6,null,LP,1977-10-28,Original UK LP,UK,EMI,EMA 784,"Matrix / Runout: YAX 5355 - 5 - 1 - 1 -2 (Side A), YAX 5356 - 3 NICK W (Side B), variation 8 on discogs.",https://www.discogs.com/Queen-News-Of-The-World/release/475599,null
8,8,null,LP,1979-06-22,Original UK LP,UK,EMI,EMSP 330,null,https://www.discogs.com/Queen-Live-Killers/release/511686,null
9,9,null,LP,1980-07-01,"Original US LP, glossy version",US,Electra,0,SP release with glossy sleeve.,https://www.discogs.com/Queen-The-Game/release/8310337,null
10,10,null,LP,1981-01-27,Original US LP,US,Electra,0,"An embossed cover, a cardboard insert and a custom photo inner sleeve.",https://www.discogs.com/Queen-Flash-Gordon-Original-Soundtrack-Music/release/1106103,null
11,35,Queen,LP,1981,"Crest sleeve, red labels",GDR,Amiga,8 55 787,"Crest sleeve, 1st pressing, because it has red labels.",https://www.discogs.com/Queen-Queen/release/414950,null
12,11,null,LP,1981,"German LP, brown/gold relief sleeve with sticker, no UP",GER,EMI,1C 088-78 044,"Brown/gold relief sleeve with sticker. Contains """"Spread Your Wings"""" after YMBF, but not """"Under Pressure""""",https://www.discogs.com/Queen-Greatest-Hits/release/4018700,null
13,11,Grootste Hits,LP,1981,"Dutch LP, later re-pressing with UP",HOL,EMI,1A 058-15 4107 1,"Later re-pressing with """"Under Pressure"""" added as a last track on Side A. Record itself states """"made in EEC"""" and record label has text in German. Article on band in Dutch on back side.",https://www.discogs.com/Queen-Grootste-Hits/release/1985326,null
14,11,null,LP,1983,Bulgarian original 2LP release with orange labels,BUL,Balkanton,BTA 11253/54,null,https://www.discogs.com/Queen-Greatest-Hits/release/7250794,A side is ruined
15,11,null,LP,1986,Bulgarian 1LP re-issue with green labels,BUL,Balkanton,BTA 11843,Green labels and white background on tracklisting on back,https://www.discogs.com/Queen-Greatest-Hits/release/3868243,null
16,11,null,LP,1987,Bulgarian 1LP re-issue with blue labels and yellow back,BUL,Balkanton,BTA 11843,Blue labels and yellow background on tracklisting on back.,https://www.discogs.com/Queen-Greatest-Hits/release/2911527,null
17,11,null,LP,1990,USSR LP,USSR,Melodia,A60 00703 001,"Pink tracklisting, made in Leningrad as indicated on label.",https://www.discogs.com/Queen-Greatest-Hits/release/2107163,null
18,36,null,LP,1984,Cat. number is GC008,HOL,null,GC008,"Record label not indicated, records itself are American Electra releases of """"Hot Space"""" (SP edition) and """"The Game"""" (AR edition).",https://www.discogs.com/Queen-Golden-Collection-Vol-2/release/5309577,null
19,12,null,LP,1984,Czechoslovakian LP,CZS,EMI Supraphon,1113 3509,null,https://www.discogs.com/Queen-Hot-Space/release/2610224,null
21,37,null,LP,1984,South Arfrican LP,SA,EMI,EXTRA 5,null,https://www.discogs.com/Queen-Live/release/3391199,null
22,15,null,LP,1986,Dutch LP,HOL,EMI,062 24 0675 1,"Printed in Holland, record itself """"made in EEC"""". Matrix/runout: 2406751-A2 (side A), 2406751-B1 (side B), variant 2 on discogs.",https://www.discogs.com/Queen-Live-Magic/release/586463,null
23,16,null,LP,1989,Dutch LP,HOL,Parlophone,064 7 92357 1,null,https://www.discogs.com/Queen-The-Miracle/release/475618,Discount hole punched in sleeve
25,18,null,LP,2009-08-31,US 2009 re-issue on 180 gramm vinyl,US,Hollywood Records,D000436701,null,https://www.discogs.com/Queen-Innuendo/release/3256694,null
26,19,null,LP,1991,"European original 2LP, PMTV 2 version",EEC,Parlophone,168 7 97971 1,Verson with PMTV 2 text on back.,https://www.discogs.com/Queen-Greatest-Hits-II/release/2847310,null
27,21,Live At Wembley'86,LP,1992,Original Italian 2LP,ITA,Parlophone,2-72 7995941,null,https://www.discogs.com/Queen-Live-At-Wembley-86/release/2009855,null
29,23,null,LP,1997-11-03,"UK 2LP, crest sleeve, clear sticker.",UK,Parlophone,823 0911,null,https://www.discogs.com/Queen-Queen-Rocks/release/1457494,null
30,24,null,LP,1999-11-08,Original LP,EU,Parlophone,7243 5 23452 1 2,"Numbered edition with picture PVC sleeve, my copy is number 06485.",https://www.discogs.com/Queen-Greatest-Hits-III/release/586935,null
32,31,null,LP,2014-09-08,Original 4LP Box,EU,Virgin EMI Records,602537910748,null,https://www.discogs.com/Queen-Live-At-The-Rainbow-74/release/6055344,null
33,32,null,LP+12'',2015-04-13,4LP Box,EU,Virgin EMI Records,602547190635,null,https://www.discogs.com/Queen-Queen-Forever/release/6885034,null
34,33,null,LP,2015-11-20,Original 2LP,UK,Virgin EMI Records,602547500748,Matrix / Runout codes as in variant 2 on discogs.,https://www.discogs.com/Queen-A-Night-At-The-Odeon/release/7739371,null
35,38,null,LP,1981,German 2LP,GER,Atlantic,ATL 60 153,Contains Queen's 'Now I'm Here' live at Hammersmith Odeon 26 Dec 1979 as a first track on side 3.,https://www.discogs.com/Various-Concerts-For-The-People-Of-Kampuchea/release/1624120,Discount cuts in sleeve.
36,39,null,LP,1993,1993 bootleg LP,null,null,null,"No label or cat.number. Place of manifacture unknown. Contains audience recording of gig at Cologne, Germany, February 1st, 1979.",https://www.discogs.com/Queen-By-Appointment-Only/release/2095200,null
38,76,null,12'',1984,"German 12'', lyrics on back, GEMA STEMRA on labels",GER,EMI,1C K 062 1655336,"Printed in Germany, record itself 'made in EEC'.",https://www.discogs.com/Queen-Radio-Ga-Ga/release/341892,null
39,77,null,12'',1984-04,German 12'',GER,EMI,1C K 062 2001166,"Printed in Germany, record itself 'made in EEC'.",https://www.discogs.com/Queen-I-Want-To-Break-Free-Extended-Mix/release/524191,null
40,78,null,12'',1984-07-16,UK 12'',UK,EMI,12QUEEN 3,null,https://www.discogs.com/Queen-Its-A-Hard-Life-Extended-Mix/release/1313860,null
42,80,null,12'',1984,Dutch 12'',HOL,EMI,1A K060-20 0440 6,"Printed in Holland, record itself 'made in EEC'.",https://www.discogs.com/Queen-Thank-God-Its-Christmas/release/1688081,null
43,81,null,12'',1985,German 12'',GER,EMI,1C K 060 20 0911 6,"Printed in Germany, record itself 'made in EEC'.",https://www.discogs.com/Queen-One-Vision-Extended-Vision/release/1650663,null
44,83,null,12'',1986-03-17,UK 12'',UK,EMI,12 QUEEN 7,"Matrix / Runout: D 12 QUEEN 7 A-1-1-2-1 TOWNHOUSE KEV (Side A),  D 12 QUEEN 7 B-1-1-2-1 (Side B), this is a mix of variants 1 and 2 in discogs.",https://www.discogs.com/Queen-A-Kind-Of-Magic-Extended-Version/release/961355,null
45,84,null,12'',1986,Dutch 12'',HOL,EMI,K060-20 1310 6,"Printed in Holland, record itself 'made in EEC'.",https://www.discogs.com/Queen-Friends-Will-Be-Friends-Extended-Version/release/1983909,null
46,86,null,12'',1986-09-15,UK 12'',UK,EMI,12 QUEEN 9,"Matrix / Runout: D 12 QUEEN 9 A-2U-1-2-1 TOWNHOUSE DMM (Side A), D 12 QUEEN 9 B-1U-1-2-x1 TOWNHOUSE DMM, this is slightly different from values in discogs.",https://www.discogs.com/Queen-Who-Wants-To-Live-Forever/release/413024,null
47,88,null,12'',1989-05-02,UK 12'',UK,Parlophone,12 QUEEN 10,"Matrix / Runout: D 12QUEEN 10 A-1U-1-2 (Side A), D 12 QUEEN 10 B-3-1-2 (Side B), ths is variant 1 in discogs.",https://www.discogs.com/Queen-I-Want-It-All/release/977664,null
49,90,null,12'',1989-08-07,UK clear vinyl 12'',UK,Parlophone,12 QUEENX 12,null,https://www.discogs.com/Queen-The-Invisible-Man/release/977696,null
50,91,null,12'',1989-10-09,"UK 12'', one-sided etched record",UK,Parlophone,12 QUEENS 14,"All songs on one side, etched autographs of the band members on the other side. Matrix /Runout on side A: 12 QUEENS 14 A-1U-1-1 D. There is probably a misprint in discogs.",https://www.discogs.com/Queen-Scandal/release/977884,null
51,92,null,12'',1989-11-27,UK 12'',UK,Parlophone,12 QUEEN 15,"Matrix / Runout: D 12QUEEN 15 A-1-1-1- (Side A), D 12QUEEN 15 B-2-1-2 (Side B), this is slightly different from values in discogs.",https://www.discogs.com/Queen-The-Miracle/release/2879297,null
52,93,null,12'',1991-01-14,Promo UK 12'',UK,Parlophone,2 QUEEN DJ 16,"Promo 12'' with album version of Innuendo on both sides, sides are not indicated. Label and cat. number not indicated, later deducted from matrix runout. Matrix / Runouts: D 12 QUEEN DJ 16 A-1U-1-1 Townhouse DMM on both sides, this value is incomplete in discogs.",https://www.discogs.com/Queen-Innuendo/release/3623176,null
53,93,null,12'',1991-01-14,UK 12'',UK,Parlophone,12 QUEEN 16,"Matrix / Runout: D 12 QUEEN 16A-2U-1-1 TRY THIS NEEDLE BENDER TOWNHOUSE DMM (Side A), D 12 QUEEN 16B-2U-1- 1 TOWNHOUSE DMM, this is a mix of variants 1 and 2 in discogs.",https://www.discogs.com/Queen-Innuendo-Explosive-Version/release/728762,null
