id	name	format	alt_name	release_date	version	country	label	cat_number	discogs_url	comment
1	Queen (Untitled First Album)	LP	Queen	1973-07-13	Original UK LP	UK	EMI	EMC 3006	https://www.discogs.com/Queen-Queen/release/847206	Matrix / Runout: YAX 4623-3U KIP - HUGGYPOO KISSY (Side A), YAX 4624-3U AGAIN! (Side B), variant 1 in discogs. My copy contains ANOTR inner sleeve.
2	Queen (Untitled First Album)	LP	Queen	1973	Original Japanese LP	JAP	Electra	P-8427E	https://www.discogs.com/Queen-Queen/release/499786	Red sleeve, insert with lyrics. No OBI on my copy.
3	Queen II	LP	NULL	1974-03-08	Original UK LP	UK	EMI	EMA 767	https://www.discogs.com/Queen-Queen-II/release/7499354	1st pressing with 3 die-cut corners on inner sleeve.
4	Sheer Heart Attack	LP	NULL	1974-11-08	Original UK LP	UK	EMI	EMC 3061	https://www.discogs.com/Queen-Sheer-Heart-Attack/release/777747	Matrix / Runout: YAX 4881-3U ROA TML-S (Side A), YAX 4882-4U RAM (Side B), variant 4 on discogs.
5	A Night At The Opera	LP	NULL	1975-11-21	Original UK LP	UK	EMI	EMTC 103	https://www.discogs.com/Queen-A-Night-At-The-Opera/release/3605090	3 die-cut corner picture inner sleeve.
6	A Day At The Races	LP	NULL	1976-12-10	Original UK LP	UK	EMI	EMTC 104	https://www.discogs.com/Queen-A-Day-At-The-Races/release/475596	Matrix / Runout: YAX 5245 - 1U STERLING (Side A), YAX 5246 - 1U STERLING (Side B), variant 1 in discogs.
7	News Of The World	LP	NULL	1977-10-28	Original UK LP	UK	EMI	EMA 784	https://www.discogs.com/Queen-News-Of-The-World/release/475599	Matrix / Runout: YAX 5355 - 5 - 1 - 1 -2 (Side A), YAX 5356 - 3 NICK W (Side B), variation 8 on discogs.
8	Live Killers	LP	NULL	1979-06-22	Original UK LP	UK	EMI	EMSP 330	https://www.discogs.com/Queen-Live-Killers/release/511686	NULL
9	The Game	LP	NULL	1980-07-01	Original US LP, glossy version	US	Electra	5E-513	https://www.discogs.com/Queen-The-Game/release/8310337	SP release with glossy sleeve.
10	Flash Gordon	LP	NULL	1981-01-27	Original US LP	US	Electra	5E-518	https://www.discogs.com/Queen-Flash-Gordon-Original-Soundtrack-Music/release/1106103	An embossed cover, a cardboard insert and a custom photo inner sleeve.
11	Queen (Untitled East German Compilation)	LP	Queen	1981	Crest sleeve, red labels	GDR	Amiga	8 55 787	https://www.discogs.com/Queen-Queen/release/414950	Crest sleeve, 1st pressing, because it has red labels.
12	Greatest Hits	LP	NULL	1981	German LP, brown/gold relief sleeve with sticker, no UP	GER	EMI	1C 088-78 044	https://www.discogs.com/Queen-Greatest-Hits/release/4018700	Brown/gold relief sleeve with sticker. Contains "Spread Your Wings" after YMBF, but not "Under Pressure"
13	Greatest Hits	LP	Grootste Hits	1981	Dutch LP, later re-pressing with UP	HOL	EMI	1A 058-15 4107 1	https://www.discogs.com/Queen-Grootste-Hits/release/1985326	Later re-pressing with "Under Pressure" added as a last track on Side A. Record itself states "made in EEC" and record label has text in German. Article on band in Dutch on back side.
14	Greatest Hits	LP	NULL	1983	Bulgarian original 2LP release with orange labels	BUL	Balkanton	BTA 11253/54	https://www.discogs.com/Queen-Greatest-Hits/release/7250794	NULL
15	Greatest Hits	LP	NULL	1986	Bulgarian 1LP re-issue with green labels	BUL	Balkanton	BTA 11843	https://www.discogs.com/Queen-Greatest-Hits/release/3868243	Green labels and white background on tracklisting on back
16	Greatest Hits	LP	NULL	1987	Bulgarian 1LP re-issue with blue labels and yellow back	BUL	Balkanton	BTA 11843	https://www.discogs.com/Queen-Greatest-Hits/release/2911527	Blue labels and yellow background on tracklisting on back.
17	Greatest Hits	LP	NULL	1990	USSR LP	USSR	Melodia	A60 00703 001	https://www.discogs.com/Queen-Greatest-Hits/release/2107163	Pink tracklisting, made in Leningrad as indicated on label.
18	Golden Collection, Vol. 2	LP	NULL	1984	Cat. number is GC008	HOL	NULL	GC008	https://www.discogs.com/Queen-Golden-Collection-Vol-2/release/5309577	Record label not indicated, records itself are American Electra releases of "Hot Space" (SP edition) and "The Game" (AR edition).
19	Hot Space	LP	NULL	1984	Czechoslovakian LP	CZS	EMI Supraphon	1113 3509	https://www.discogs.com/Queen-Hot-Space/release/2610224	NULL
20	The Works	LP	NULL	1984	Dutch LP	HOL	EMI	1C 064 2400141	https://www.discogs.com/Queen-The-Works/release/1838765	Country and cat.number from sleeve. The record itself is a German "made in EEC" release with cat.number 1A 064-2400141.
21	Live	LP	NULL	1984	South Arfrican LP	SA	EMI	EXTRA 5	https://www.discogs.com/Queen-Live/release/3391199	NULL
22	Live Magic	LP	NULL	1986	Dutch LP	HOL	EMI	062 24 0675 1	https://www.discogs.com/Queen-Live-Magic/release/586463	Printed in Holland, record itself "made in EEC". Matrix/runout: 2406751-A2 (side A), 2406751-B1 (side B), variant 2 on discogs.
23	The Miracle	LP	NULL	1989	Dutch LP	HOL	Parlophone	064 7 92357 1	https://www.discogs.com/Queen-The-Miracle/release/475618	NULL
24	Innuendo	LP	NULL	1991	European LP, French distrubution code on back	EEC	EMI Parlophone	068 7 95887 1	https://www.discogs.com/Queen-Innuendo/release/5383773	Matrix / Runout: 7958871-A2 1 (Side A), 7958871-B2 2 (Side B), this variant is not on discogs.
25	Innuendo	LP	NULL	2009-08-31	US 2009 re-issue on 180 gramm vinyl	US	Hollywood Records	D000436701	https://www.discogs.com/Queen-Innuendo/release/3256694	NULL
26	Greatest Hits II	LP	NULL	1991	European original 2LP, PMTV 2 version	EEC	Parlophone	168 7 97971 1	https://www.discogs.com/Queen-Greatest-Hits-II/release/2847310	Verson with PMTV 2 text on back.
27	Live At Wembley'86/Live At Wembley Stadium	LP	Live At Wembley'86	1992	Original Italian 2LP	ITA	Parlophone	2-72 7995941	https://www.discogs.com/Queen-Live-At-Wembley-86/release/2009855	NULL
28	Made In Heaven	LP	NULL	1995-11-06	UK original ivory vinyl LP, promo copy	ITA	Parlophone	PCSD 167	https://www.discogs.com/Queen-Made-In-Heaven/release/803525	Promo copy. No 'Queen discography' paper at least on my copy.
29	Queen Rocks	LP	NULL	1997-11-03	UK 2LP, crest sleeve, clear sticker.	UK	Parlophone	823 0911	https://www.discogs.com/Queen-Queen-Rocks/release/1457494	NULL
30	Greatest Hits III	LP	NULL	1999-11-08	Original LP	EU	Parlophone	7243 5 23452 1 2	https://www.discogs.com/Queen-Greatest-Hits-III/release/586935	Numbered edition with picture PVC sleeve, my copy is number 06485.
31	Live At The Rainbow'74	LP	NULL	2014-09-08	Original 2LP edition	EU	Virgin EMI Records	0602537910717	https://www.discogs.com/Queen-Live-At-The-Rainbow-74/release/6055943	NULL
32	Live At The Rainbow'74	LP	NULL	2014-09-08	Original 4LP Box	EU	Virgin EMI Records	0602537910748	https://www.discogs.com/Queen-Live-At-The-Rainbow-74/release/6055344	NULL
33	Forever	LP+12''	NULL	2015-04-13	4LP Box	EU	Virgin EMI Records	0602547190635	https://www.discogs.com/Queen-Queen-Forever/release/6885034	NULL
34	A Night At The Odeon	LP	NULL	2015-11-20	Original 2LP	UK	Virgin EMI Records	0602547500748	https://www.discogs.com/Queen-A-Night-At-The-Odeon/release/7739371	Matrix / Runout codes as in variant 2 on discogs.
35	Concerts For The People Of Kampuchea	LP	NULL	1981	German 2LP	GER	Atlantic	ATL 60 153	https://www.discogs.com/Various-Concerts-For-The-People-Of-Kampuchea/release/1624120	Contains Queen's 'Now I'm Here' live at Hammersmith Odeon 26 Dec 1979 as a first track on side 3.
36	By Appointment Only	LP	NULL	1993	1993 bootleg LP	NULL	NULL	NULL	https://www.discogs.com/Queen-By-Appointment-Only/release/2095200	No label or cat.number. Place of manifacture unknown. Contains audience recording of gig at Cologne, Germany, February 1st, 1979.
37	Back Chat	12''	NULL	1982-08-09	Original UK 12''	UK	EMI	12 EMI 5325	https://www.discogs.com/Queen-Back-Chat/release/1050815	Matrix / Runout: 12 EMI 5325 A-1-1-1- NICKZ (side A), 12 EMI 5325 B-3-1-1-1 (side B), this is variant 3 on discogs.
38	Radio Ga Ga	12''	NULL	1984	German 12'', lyrics on back, GEMA STEMRA on labels	GER	EMI	1C K 062 1655336	https://www.discogs.com/Queen-Radio-Ga-Ga/release/341892	Printed in Germany, record itself 'made in EEC'.
39	I Want To Break Free	12''	NULL	1984-04	German 12''	GER	EMI	1C K 062 2001166	https://www.discogs.com/Queen-I-Want-To-Break-Free-Extended-Mix/release/524191	Printed in Germany, record itself 'made in EEC'.
40	It's A Hard Life	12''	NULL	1984-07-16	UK 12''	UK	EMI	12QUEEN 3	https://www.discogs.com/Queen-Its-A-Hard-Life-Extended-Mix/release/1313860	NULL
41	It's A Hard Life	12''	NULL	1984-07-16	UK picture disc 	UK	EMI	12 QUEENP 3	https://www.discogs.com/Queen-Its-A-Hard-Life/release/1709711	NULL
42	Thank God It's Christmas	12''	NULL	1984	Dutch 12''	HOL	EMI	1A K060-20 0440 6	https://www.discogs.com/Queen-Thank-God-Its-Christmas/release/1688081	Printed in Holland, record itself 'made in EEC'.
43	One Vision	12''	NULL	1985	German 12''	GER	EMI	1C K 060 20 0911 6	https://www.discogs.com/Queen-One-Vision-Extended-Vision/release/1650663	Printed in Germany, record itself 'made in EEC'.
44	A Kind Of Magic	12''	NULL	1986-03-17	UK 12''	UK	EMI	12 QUEEN 7	https://www.discogs.com/Queen-A-Kind-Of-Magic-Extended-Version/release/961355	Matrix / Runout: D 12 QUEEN 7 A-1-1-2-1 TOWNHOUSE KEV (Side A),  D 12 QUEEN 7 B-1-1-2-1 (Side B), this is a mix of variants 1 and 2 in discogs.
45	Friends Will Be Friends	12''	NULL	1986	Dutch 12''	HOL	EMI	K060-20 1310 6	https://www.discogs.com/Queen-Friends-Will-Be-Friends-Extended-Version/release/1983909	Printed in Holland, record itself 'made in EEC'.
46	Who Wants To Live Forever	12''	NULL	1986-09-15	UK 12''	UK	EMI	12 QUEEN 9	https://www.discogs.com/Queen-Who-Wants-To-Live-Forever/release/413024	Matrix / Runout: D 12 QUEEN 9 A-2U-1-2-1 TOWNHOUSE DMM (Side A), D 12 QUEEN 9 B-1U-1-2-x1 TOWNHOUSE DMM, this is slightly different from values in discogs.
47	I Want It All	12''	NULL	1989-05-02	UK 12''	UK	Parlophone	12 QUEEN 10	https://www.discogs.com/Queen-I-Want-It-All/release/977664	Matrix / Runout: D 12QUEEN 10 A-1U-1-2 (Side A), D 12 QUEEN 10 B-3-1-2 (Side B), ths is variant 1 in discogs.
48	Breakthru	12''	NULL	1989	Dutch LP	HOL	Parlophone	K 060 20 3421 6	https://www.discogs.com/Queen-Breakthru/release/1123008	Printed in Holland, record itself 'made in EEC'.
49	The Invisible Man	12''	NULL	1989-08-07	UK clear vinyl 12''	UK	Parlophone	12 QUEENX 12	https://www.discogs.com/Queen-The-Invisible-Man/release/977696	NULL
50	Scandal	12''	NULL	1989-10-09	UK 12'', one-sided etched record	UK	Parlophone	12 QUEENS 14	https://www.discogs.com/Queen-Scandal/release/977884	All songs on one side, etched autographs of the band members on the other side. Matrix /Runout on side A: 12 QUEENS 14 A-1U-1-1 D. There is probably a misprint in discogs.
51	The Miracle	12''	NULL	1989-11-27	UK 12''	UK	Parlophone	12 QUEEN 15	https://www.discogs.com/Queen-The-Miracle/release/2879297	Matrix / Runout: D 12QUEEN 15 A-1-1-1- (Side A), D 12QUEEN 15 B-2-1-2 (Side B), this is slightly different from values in discogs.
52	Innuendo	12''	NULL	1991-01-14	Promo UK 12''	UK	Parlophone	2 QUEEN DJ 16	https://www.discogs.com/Queen-Innuendo/release/3623176	Promo 12'' with album version of Innuendo on both sides, sides are not indicated. Label and cat. number not indicated, later deducted from matrix runout. Matrix / Runouts: D 12 QUEEN DJ 16 A-1U-1-1 Townhouse DMM on both sides, this value is incomplete in discogs.
53	Innuendo	12''	NULL	1991-01-14	UK 12''	UK	Parlophone	12 QUEEN 16	https://www.discogs.com/Queen-Innuendo-Explosive-Version/release/728762	Matrix / Runout: D 12 QUEEN 16A-2U-1-1 TRY THIS NEEDLE BENDER TOWNHOUSE DMM (Side A), D 12 QUEEN 16B-2U-1- 1 TOWNHOUSE DMM, this is a mix of variants 1 and 2 in discogs.
54	Headlong	12''	NULL	1991-05-13	UK 12'', clear vinyl	UK	Parlophone	12 QUEENPD 18	https://www.discogs.com/Queen-Headlong/release/2253872	Matrix / Runout: 12 QUEEN PD 18 A ORLAKE (Side A), 12 QUEEN PD 18 B ORLAKE {creasted box picture}(Side B).
55	The Show Must Go On	12''	NULL	1991-10-14	UK Gatefold one-sided etched 12''	UK	Parlophone	12 QUEENSG 19	https://www.discogs.com/Queen-The-Show-Must-Go-On/release/834682	Matrix / Runout on side A: {tensor sign}{crested box sign} D 12QUEENS19 A-1U-1-2 TOWNHOUSE DMM
56	The Show Must Go On	12''	NULL	1991	European 12''	EEC	Parlophone	060 20 4533 6	https://www.discogs.com/Queen-The-Show-Must-Go-On/release/764694	Matrix / Runout: 2045336 - A1 (side A), 2045336 - B1 (side B)
57	You Don't Fool Me	12''	NULL	1996-11-18	UK numbered ivory vinyl 12''	UK	Parlophone	12QUEEN 25	https://www.discogs.com/Queen-You-Dont-Fool-Me-The-Remixes/release/362138	33 RPM. Limited numbered edition, my copy is number 06994. Matrix / Runout: 12 QUEEN 25 A-01-01-1 KEV (Side A), 12 QUEEN 25 B-01-01-1 (Side B).
58	Another One Bites The Dust	12''	NULL	1998-11-14	UK 12''	UK	Dreamworks Records	DRMT 22364	https://www.discogs.com/Queen-Wyclef-Jean-Featuring-Pras-Free-Another-One-Bites-The-Dust/release/2952688	Matrix / Runout: DRMT 22364 A-01-01- WALLY C. MASTERPIECE (Side A), DRMT 22364 B-01-01- (Side B).
59	Under Pressure (Rah Mix)	12''	NULL	1999-12-06	UK Promo white label 12''	UK	Parlophone	QUEENWL 28	https://www.discogs.com/Queen-David-Bowie-Under-Pressure/release/1828012	Matrix / Runout: QUEENWL 28 A-1-1- (Side A), QUEENWL 28 B-1-1- (Side B). White labels, so side indicated by runout only. Label and country also not indicated.
61	Let Me In Your Heart Again	12''	NULL	2015-04-13	2015 one-sided etched 12'', part of "Forever" vinyl box	UK	Virgin EMI Records	0602547190727	NULL	Part of "Forever" vinyl box. Side B etched with band members faces. Matrix / runout: 4719072 BF81724-01 A1 V+ MILES ABBER ROAD 1/2 SPEED.
62	Fun In Space	LP	NULL	1981	Dutch LP	HOL	EMI	1C 064-64328	https://www.discogs.com/Roger-Taylor-Roger-Taylors-Fun-In-Space/release/987353	Sleeve says 'printed in Holland', the record itself is a british release with cat. number EMC 3369. Matrix / Runout: 64328-A1 (Side A), 64328-B1 (Side B).
63	Strange Frontier	LP	NULL	1984-06-25	Original UK LP	UK	EMI	RTA 1	https://www.discogs.com/Roger-Taylor-Strange-Frontier/release/2260133	Matrix / Runout: EJ 2401371 A-1-1-1-4 NICKZ PENTHOUSE (Side A), EJ 2401371 B-2-1-1-8 NICKZ PENTHOUSE (Side B), this is variant 3 in discogs.
64	Strange Frontier	LP	NULL	1984	Original German LP	GER	EMI	1C 064 24 0137 1	https://www.discogs.com/Roger-Taylor-Strange-Frontier/release/1622697	Says 'printed in German' on the sleeve, record itself 'made in EEC'. Matrix / Runout: 2401371-A2+C (Side A), 2401371-B1+C (Side B).
65	Fun On Earth	LP	NULL	2014-04-19	2 LP picture disk release	EU	Virgin EMI Records	0602537755196	https://www.discogs.com/Roger-Taylor-Fun-On-Earth/release/5524010	Matrix / Runout: 3775515 BE41218-01 A1 THE SOUNDMASTERS (Side A), 3775515 BE41218-01 B1 THE SOUNDMASTERS (Side B), 3773957 BE42509-01 A1 THE SOUNDMASTERS (Side C), 3773957 BE42509-01 B1 THE SOUNDMASTERS (Side D).
66	Fun On Earth	LP	NULL	2014-10-06	Black vinyl 2LP re-issue.	EU	Virgin EMI Records	0602537921683	https://www.discogs.com/Roger-Taylor-Fun-On-Earth/release/6175524	Labels for sides are reversed on both discs. \
Matrix / Runout:  BE41218-01 A1 3775515 THE SOUNDMASTERS (Side A), BE41218-01 B1 3775515 THE SOUNDMASTERS (Side B), BE42509-01 A1 3773957 THE SOUNDMASTERS (Side C), BE42509-01 B1 3773957 THE SOUNDMASTERS (Side D).
67	Strange Frontier	12''	NULL	1984	USA Promo 12''	US	Capitol Records	SPRO-9258	https://www.discogs.com/Roger-Taylor-Strange-Frontier/release/7938881	Both sides 33 RPM, plain sleeve. Matrix / runout: SPRO-9258 - # x 99386 G-2#1 MASTERED BY CAPITOL 0 (side A), SPRO-9258 - # x 99386 G-2#2 MASTERED BY CAPITOL 0 (side B).
68	Happiness	12''	NULL	1994-11-14	UK ltd edition 12'' PD	UK	Parlophone	12R 6399	https://www.discogs.com/Roger-Taylor-Happiness/release/1905207	Number 4019. Matrix / runout: 12+R+6399+A ORLAKE (Side A), 2+R+6399+B ORLAKE (Side B).
69	Journey's End	10''	NULL	2017-11-24	US yellow vinyl 2017 10''	US	Omnivore Recordings	OVS10-245	https://www.discogs.com/Roger-Taylor-Journeys-End/release/11191587	Plays at 33 RPM, yellow vinyl. Matrix / runout: S-100726 RG-1 OVS10-245 816651013166 A2 RGRCA (Side A), OVS10-245 816651013166 B S-100727 RGRCA (Side B).
70	Journey's End	10''	NULL	2018-04-21	EU 2018 10''	EU	Virgin EMI Records	0602567332435	https://www.discogs.com/Roger-Taylor-Journeys-End/release/11890828	Matrix / runout: 0602567332435 A1 PHD MPO MPO 18 06165 6733243 A (Side A), 0602567332435 B1 M R+S 2018 MPO MPO 18 06166 6733243 B (Side B).
71	Shove It	LP	NULL	1988	European LP	GER	Virgin	208 712-630	https://www.discogs.com/The-Cross-Shove-It/release/820172	Contains a sticker a the frontsleeve stating the band members and their role. Matrix / runout: DM 208712 A-1/10-87 (Side A), DM 208712 B-1/10-87 (Side B).
72	Mad Bad And Dangerous To Know	LP	NULL	1990	European LP	EEC	EMI Electrola	1C 064 7 93924 1	https://www.discogs.com/Cross-MAD-BAD-And-Dangerous-To-Know/release/1617639	Matrix / runout: 7939241-A 2 (side A), 7939241-B 1 1 (Side B).
73	Cowboys And Indians	12''	NULL	1987	German 12''	GER	Virgin	609 447	https://www.discogs.com/The-Cross-Cowboys-And-Indians/release/1859499	Matrix / runout: DM 609447 A-1/9-87 (side A), DM 609447 B-2/9-87 (side B).
74	Power To Love	12''	NULL	1990	EEC 12''	EEC	EMI Electrola	1C 060-1 47497 6	https://www.discogs.com/The-Cross-Power-To-Love/release/2233796	Matrix / runout: 1474976-A1 (Side A), 1474976-B2 (Side B).
75	Liar	12''	NULL	2005	fake 2005 12'' 	EEC	EMI Electrola	1C 060 14 7516 6	https://www.discogs.com/The-Cross-Liar/release/4277755	Fake copy of original release. Matrix / runout: 1475166-A2 (side A), 1475166-B2 (side B).
76	New Dark Ages	12''	NULL	2005	fake 2005 12''	EEC	EMI Electrola	1C 060-2 04437 6	https://www.discogs.com/The-Cross-New-Dark-Ages/release/3389883	Fake copy of original. Sleeve is missing the child faces behind the birds.
77	At The Beeb/At The BBC	LP	At The Beeb	1989-12-04	Original UK LP	UK	Band Of Joy	BOJLP 001	https://www.discogs.com/Queen-At-The-Beeb/release/1574512	Matrix / runout: BOJLP001A-1 * MB MAX (Side A), BOJLP001B-1 * CTS MAX (Side B).
78	Starfleet Project	LP	NULL	1983	German mini LP	GER	EMI	1C 038 1078061	https://www.discogs.com/Brian-May-Friends-Star-Fleet-Project/release/715392	Matrix / runout: 1078061 A-1C (Side A), 1078061 B-1C (Side B).
79	Starfleet Project	LP	NULL	1983	German mini LP	GER	EMI	1C 038 1078061	https://www.discogs.com/Brian-May-Friends-Star-Fleet-Project/release/715392	Matrix / runout: 1078061 A-1C X (Side A), 1078061 B-1C X (Side B).
80	Back To The Light	LP	NULL	1992	Croatian LP	CRO	Croatia Records Parlophone	LP-7-1-F 2039726	https://www.discogs.com/Brian-May-Back-To-The-Light/release/6408908	Matrix / runout: LP 2 03972 6 A 01 12 92 SB (Side A), LP-2039726-B 261192 B (Side B).
81	Another World	LP	NULL	1998-06-01	Picture disk LP	EU	Parlophone	4949731	https://www.discogs.com/Brian-May-Another-World/release/2390421	Picture disk. Matrix / runout: 4949731 A-1-1- D (Side A), 4949731 B-1-1- D (Side B).
82	Driven By You	12''	NULL	1991	European 12''	EEC	Parlophone	060-20 4586 6	https://www.discogs.com/Brian-May-Driven-By-You/release/4763146	Matrix / runout: 2045866-A1 (Side A), 2045866-B1 (Side B).
83	Mr. Bad Guy	LP	NULL	1985	Dutch LP, no white border around Freddie's photo on insert.	HOL	CBS	86312	https://www.discogs.com/Freddie-Mercury-Mr-Bad-Guy/release/715383	No white border around Freddie's photo on insert. Matrix / runout: 01-86312-3A-1 AL-40071-1A C (Side A), 01-86312-3B-1 BL 40071-1C A (Side B).
84	Love Kills	12''	NULL	1984	Dutch 12''	HOL	CBS	CBSA 12.4735	https://www.discogs.com/Freddie-Mercury-Love-Kills-Extended-Version/release/849054	Matrix / runout: A 11-4735-1A-1 (Side A), A 11-4735-1B-1 (Side B). B-side by Georgio Moroder, mistankenly credited to Freddie as well.
85	I Was Born To Love You	12''	NULL	1985	Dutch 12''	HOL	CBS	CBSA 12.6019	https://www.discogs.com/Freddie-Mercury-I-Was-Born-To-Love-You-Extended-Version/release/658990	Matrix / runout: 01-126019-1A-1 Timtom A (Side A), 01-126019-1B-1 A (Side B), this is variant 1 in discogs.
86	Made In Heaven	12''	NULL	1985	Dutch 12''	HOL	CBS	CBSA 12-6413	https://www.discogs.com/Freddie-Mercury-Made-In-Heaven/release/3389904	Matrix / runout: 01-126413-1A-1 STERLING A (Side A), 01-126413-1B-1 A (Side B).
87	Time	12''	NULL	1986	European 12''	EEC	EMI	1C K 060 20 1256 6	https://www.discogs.com/Freddie-Mercury-Time-Extended-Mix/release/2142555	Matrix / Runout: 2012566-A1 (Side A), 2012566-B1 (Side B).
88	The Great Pretender	12''	NULL	1987-02-23	UK 12''	EEC	Parlophone	12R6151	https://www.discogs.com/Freddie-Mercury-The-Great-Pretender-Extended-Version/release/2116210	Matrix / runout: 2 R 6151 A-1U-1-1- TOWNHOUSE KEV DMM D (Side A), 12 R 6151 B-1U-1-1- TOWNHOUSE DMM D (Side B).
89	Living On My Own The Remixes	12''	NULL	1992	Original independent Belgium 1992 12''	BEL	No More Brothers	NMB 01	https://www.discogs.com/Freddie-Mercury-Living-On-My-Own-The-Remixes/release/857388	Runs on 33 RPM. Matrix / runout: NMB 01-A1 D.P. (Side A), NMB 01-B1 D.P. (Side B).
90	Living On My Own The Remixes	12''	Living On My Own	1993-07-19	UK 1993 Parlophone 12''	UK	Parlophone	12R 6355	https://www.discogs.com/Freddie-Mercury-Living-On-My-Own/release/360928	Matrix / runout: 12R6355 A-1-1- 1- D (Side A), 12R 6355 B-1-1- 1- D (Side B).
91	Metropolis Original Motion Picture Soundtrack	LP	NULL	1984	Dutch LP	HOL	CBS	70252	https://www.discogs.com/Various-Metropolis-Original-Motion-Picture-Soundtrack/release/1023654	Yellow sticker on the front. Matrix / runout: 01-70252-2A-1 P PAL-39526-1AA (flower drawn) B (Side A), 01-70252-1B-1 D (Side B).
92	Original Soundtrack From The Motion Picture Teachers	LP	NULL	1984	US LP, cat number SV-12371	US	Capitol Records	SV-12371	https://www.discogs.com/Various-Original-Soundtrack-From-The-Motion-Picture-Teachers/release/4185883	Matrix / runout: SV-1-12371-Z3 Precision (Side A), SV-2-12371-Z4 #3 Precision (Side B)
93	Original Soundtrack From The Motion Picture Teachers	LP	NULL	1984	US LP, cat number SV-12371, promo copy	US	Capitol Records	SV-12371	https://www.discogs.com/Various-Original-Soundtrack-From-The-Motion-Picture-Teachers/release/4185883	Matrix / runout: SV-1-12371-Z4 Precision (Side A), SV-2-12371-Z4 Precision (Side B).
94	Dave Clark's Time The Album	LP	NULL	1986-04	UK 2LP, hologram on the front sleeve.	UK	EMI	AMPM 1	https://www.discogs.com/Dave-Clark-Dave-Clarks-Time-The-Album/release/1496667	Hologram on the front sleeve, 20 page booklet (without the hologram). Matrix / runout: E 50031 4-3-1-1- Steve D (Side A),  E 500313-2-1-1-x1 D (Side B),  E 50032 A-1-1-1-x1 D (Side C), E 50032 B-2-1-1-x1 D (Side D).
95	The Royal Philharmonic Orchestra Plays The Queen Collection	LP	NULL	1982	Dutch LP, promo copy	HOL	EMI	1A064-64726	https://www.discogs.com/The-Royal-Philharmonic-Orchestra-The-Royal-Philharmonic-Orchestra-Plays-The-Queen-Collection/release/2997314	Swedish promo copy with stamp. Sleeve printed in Holland. Says "made in EEC" on the record label. Matrix / runout: 64726-A1 c1 (Side A), 64726-B1 c1 (Side B).
96	Past Present & Future	LP	NULL		UK LP, gatefold sleeve, reissue	UK	CBS	65726	https://www.discogs.com/Al-Stewart-Past-Present-Future/release/4612982	Re-issue with gatefold sleeve. Matrix / runout: S 65726 A2 (Side A), S 65726 B3 D (Side B).
97	Enough Is Enough	LP	NULL	1986	US LP	US	Capitol Records	PJ-12483	https://www.discogs.com/Billy-Squier-Enough-Is-Enough/release/1991933	Matrix / runout: PJ-1-12483-Z1-DMM SP \\-/SM\\-4 Sterling Sound (Side A), PJ-2-12483-Z1-DMM SP 4-1 Sterling Sound (Side B).
98	Classic Rock	LP	NULL	1977	Finnish LP	FIN	K-tel	NE 1009	https://www.discogs.com/The-London-Symphony-Orchestra-And-The-Royal-Choral-Society-Classic-Rock/release/4715451	Matrix / runout: NE 1009 A CR GP (Side A), NE 1009 B CR GP (Side B).
99	The Queen Album	LP	NULL	1988	German LP	GER	Virgin Siren	209 434	https://www.discogs.com/Elaine-Paige-The-Queen-Album/release/2439735	Matrix / runout: DM209434 A 1/10-88 II (roman 2) (Side A), DM209434 B 1/10-88 (Side B)
100	Queen (Untitled First Album)	LP	NULL	1994	Russian unofficial 94 LP	RUS	Santa Records	П94 RAT 30733	https://www.discogs.com/Queen-Queen/release/2018524	Matrix / runout: RAT 30733 / 1 (Side A), RAT 30733 / 2 (Side B).
101	A Night At The Opera	LP	NULL	1994	Russian unofficial 94 LP	RUS	Santa Records	П93 00553/4	https://www.discogs.com/Queen-A-Night-At-The-Opera-/release/11649138	Matrix / Runout: ATR-30125  (Side A),  ATR-30126 (Side B).
102	A Day At The Races	LP	NULL	1994	Russian unofficial 94 LP	RUS	Santa Records	П93 00555/6	https://www.discogs.com/Queen-A-Day-At-The-Races/release/2018506	Matrix / Runout: ATR - 30127 (Side A), ATR - 30128 (Side B).
103	Jazz	LP	NULL	1994	Russian unofficial 94 LP	RUS	Santa Records	П93 0607/08	https://www.discogs.com/Queen-Jazz/release/3177292	Matrix / runout: ATR-30179 (Side A), ATR-30180 (Side B).
